V1,V2,beta,alpha1,alpha2,c1tau1,c1tau2,c1tau3,c1tau4,c1tau5,c1tau6,c1tau7,c1tau8,c1tau9,c1tau10,c2tau1,c2tau2,c2tau3,c2tau4,c2tau5,c2tau6,c2tau7,c2tau8,c2tau9,c2tau10,x1,x2,gamma,beta_se,alpha1_se,alpha2_se,c1tau1_se,c1tau2_se,c1tau3_se,c1tau4_se,c1tau5_se,c1tau6_se,c1tau7_se,c1tau8_se,c1tau9_se,c1tau10_se,c2tau1_se,c2tau2_se,c2tau3_se,c2tau4_se,c2tau5_se,c2tau6_se,c2tau7_se,c2tau8_se,c2tau9_se,c2tau10_se,x1_se,x2_se,gamma_se,LL,H0_scaling,parms,AIC,BIC,SSBIC,entropy,x3
1,1,0.110805,1.537532,6.14E-14,-0.84181352,-0.84289842,-0.83088632,-0.8557435,-0.78710587,0.90044416,0.8689662,0.8812308,0.89935297,1.0160054,0.73154079,0.85448772,0.88498792,0.90034186,0.81382114,-0.6555206,-0.79142081,-0.87223415,-0.91387704,-0.86832017,-0.28380097,1.0439746,0.65784273,0.069507962,0.35399456,4.87E-14,0.059372854,0.063924046,0.063276586,0.061250451,0.05591208,0.069454915,0.060958555,0.065732148,0.071562837,0.073975147,0.097960345,0.07809491,0.087196319,0.084927111,0.099955833,0.08246662,0.076776643,0.088838416,0.079240808,0.075660045,0.19875095,0.14163892,0.2768614,-12939.178,0.84999155,26,25930.356,26057.958,25975.38,0.74328997,2.25E-17
1,2,0.064307015,1.6352934,0.047925927,-0.86675451,-0.77644296,-0.81938629,-0.80956346,-0.9082906,0.95658376,0.87656761,0.88607813,0.83961407,0.84283872,0.65887741,0.89337722,0.78005869,0.79507155,0.83001043,-0.67416108,-0.92784184,-0.77273603,-0.74473074,-0.77578639,-0.025959347,0.95335724,0.75785608,0.10233674,0.53768416,0.085274117,0.088879739,0.061267821,0.081785794,0.062561301,0.082561388,0.061831151,0.081876126,0.080614293,0.069113205,0.069130041,0.10485564,0.12265871,0.093450795,0.085836746,0.086409053,0.095731127,0.10418023,0.085625929,0.10765162,0.10817906,0.20685833,0.17653479,0.29270835,-12991.857,1.0679695,26,26035.714,26163.315,26080.738,0.71432551,0.00814736
1,3,0.041158065,1.7443687,0.010091508,-0.94121707,-0.81791236,-0.95044716,-0.93811464,-0.91168839,0.88265745,0.94680624,0.88119052,1.0056576,0.8593827,0.8964825,0.64920309,0.72359031,0.8180873,0.8908259,-0.86236902,-0.86942168,-1.0571464,-0.86712662,-0.65535633,-0.40573105,0.6200082,1.2445664,0.11886944,0.56124651,0.070250686,0.070442199,0.068667433,0.064588102,0.076197968,0.055061268,0.072776505,0.075562928,0.069222055,0.062595849,0.088791817,0.077268359,0.09333159,0.10162357,0.085531061,0.083203797,0.070833613,0.10080222,0.077006916,0.071717764,0.087090469,0.20726202,0.12786565,0.36279246,-12887.565,1.0437486,26,25827.13,25954.732,25872.155,0.75276754,0.00535171
1,4,0.19575382,2.5739403,0.00182808,-0.88065263,-0.753154,-0.80621797,-0.90091622,-0.90198405,0.77760367,0.78782263,0.75218972,0.85528957,0.83968918,0.93152494,0.86278647,0.84526699,0.9923333,0.95428188,-0.84126878,-1.0086884,-0.86113285,-0.77024847,-0.88859396,-0.25216057,0.93114529,1.2202628,0.094724735,0.69043976,0.001764072,0.054120857,0.060934032,0.06334893,0.062732709,0.062055043,0.076659348,0.061255884,0.070258316,0.0644297,0.064143533,0.082634943,0.087969809,0.080582254,0.080754907,0.096347598,0.079891271,0.096035982,0.06686664,0.065918865,0.08684302,0.25212907,0.16019141,0.29766847,-12907.462,0.87007725,26,25866.924,25994.525,25911.948,0.76706508,-0.002293328
1,5,-0.051374086,1.5456365,9.28E-05,-0.88492601,-0.87517088,-0.9201023,-0.80899855,-0.87104636,0.8226052,0.95209704,0.82207936,0.88128683,0.916502,0.81591683,0.96023677,0.95700895,1.0251186,0.83729339,-0.78950213,-1.0042093,-0.81967738,-0.866683,-0.83519043,-0.17913588,0.78128739,1.1669599,0.06759887,0.57359145,8.27E-05,0.070488278,0.066328845,0.061121255,0.075111663,0.075022737,0.070036291,0.070469301,0.068383125,0.066811995,0.054915047,0.088908446,0.077398666,0.096879355,0.086845989,0.097389619,0.069489596,0.064713917,0.096897604,0.082977202,0.091202812,0.1962192,0.11772095,0.22049272,-12877.866,0.89695561,26,25807.732,25935.333,25852.756,0.75755848,5.12E-08
